,0,1,2,3,4,5,6,7,8,9
0,70.55300990959951,83.37626539378891,69.54740111881183,70.3517529480184,72.86977378700996,88.20636046225819,86.92588913787576,55.599638709977114,84.80978077480529,83.41532813474134
1,75.04024520329419,83.872423655995,73.27144963733917,70.67829768124513,75.00778450842861,85.45644717331527,83.9751439346041,61.02732632140679,81.6865993757187,82.7124173574931
2,74.25790994541691,81.18224210101427,69.78609663831904,75.42068711302059,79.53232342314062,85.55633487579905,82.29235604743349,64.78109391899,82.98759476667394,84.58791035911327
3,74.39240431540085,80.98115842432684,68.33389440839433,75.70933432810057,78.96906689286068,86.24510183129645,74.87064573522946,62.928729042345985,85.07557759132412,85.16320312313451
4,76.78167642776123,78.89497507537307,71.79742641470656,75.61357026849498,80.76461114191109,85.84077768165017,76.98546999788992,62.356742880979965,83.89905857703037,85.16183908235627
5,76.57654213696054,80.63683337480049,72.44217501870537,74.91099961682595,80.27193694471234,85.11258662803928,76.291962878705,60.29842992760367,84.61091015929807,84.71447395717148
6,76.80937640390547,78.66839284754678,69.08244619871168,72.40313089453042,80.98179057147571,84.9240118334357,77.40078614618534,61.51597666834975,88.798415544858,84.70273598723435
7,81.08546793869385,76.26463584178668,67.57587962500014,72.392029022711,81.89842119848677,83.41022868930663,78.05006924151738,62.97973448927795,88.35019936029722,83.04202916607355
8,81.32539078415101,76.14363814331641,66.91138249641506,72.05630969919422,82.29824933902137,82.5932158073389,78.76081729514553,63.316928956968496,88.47438596200801,82.73659677009566
9,73.32766156135324,75.49317183110978,66.4340739007794,73.17858440875845,82.56352212706264,84.07718699178153,79.08653333882228,64.11993373159363,88.12799284782113,82.66856301612336
